name,price,url,description,ingredients,weight_g
Grandeur Hamper Basket,10990.0,https://entisi.com/collections/all/products/grandeur-gift-basket,This leather gift basket includes our finest collection of our gourmet chocolate Contains: 1 Box of 25 Bonbons 1 Box of 16 Pralines 1 Hot Chocolate 1 Box of 6 Chocolate Hazelnut Cookies 1 Box of 8 Macaron 1 Signature Chocolate Bar 1 Nostimo Chocolate Hazelnut Spread 1 Box of 2 Dragees Jar Dietary Preference *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .,This leather gift basket includes our finest collection of our gourmet chocolate Contains: 1 Box of 25 Bonbons 1 Box of 16 Pralines 1 Hot Chocolate 1 Box of 6 Chocolate Hazelnut Cookies 1 Box of 8 Macaron 1 Signature Chocolate Bar 1 Nostimo Chocolate Hazelnut Spread 1 Box of 2 Dragees Jar Dietary Preference *Delivery time may be longer during festive season & public holidays.,1360.0
Ultimate Hamper Basket,6495.0,https://entisi.com/collections/all/products/ultimate-hamper-basket,Ultimate Hamper Basket This round faux leather gift basket includes our finest and latest collection of gourmet chocolates. This basket contains: Box of 7 Bonbons x 1 Box of 8 truffles x 1 Box of chocolate coated orange peels x 1 Dragees Jar x 1 Chocolate covered popcorn x 1 Hot Chocolate x 1 Box of 6 hazelnut cookies x 1 Dietary Preference Note Only available for delivery in Mumbai & Mumbai Outskirts *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .,This basket contains: Box of 7 Bonbons x 1 Box of 8 truffles x 1 Box of chocolate coated orange peels x 1 Dragees Jar x 1 Chocolate covered popcorn x 1 Hot Chocolate x 1 Box of 6 hazelnut cookies x 1 Dietary Preference Note Only available for delivery in Mumbai & Mumbai Outskirts *Delivery time may be longer during festive season & public holidays.,800.0
Chocolate Royal Hamper,5990.0,https://entisi.com/collections/all/products/chocolate-royal-hamper,"A Chocolate Royal Hamper with delectable goodies This exquisite gift box is filled with a luxurious collection of chocolates, cookies, and other delectable treats. Box of 5 Creminos x 1 Chocolate Coated Hazelnut Cookies (6 pcs) x 1 Hazelnut Truffles Box (8 pcs) x 1 Salted Caramel Hot Chocolate 200g x 1 Peppermint Chocolate Macarons x 1 41% Plain Milk Bar x 1 70% Sea salt Caramel Dark Bar x 1 Chocolate C oated Dragees Jar x 1 Nostimo Chocolate Spread Jar x 1 Personalise it with your own handwritten message on our card. Dietary Preference *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .",,1000.0
Family & Friends Festive Hamper Basket,4545.0,https://entisi.com/collections/all/products/family-friends-festive-basket,"This gift basket includes our finest collection of chocolates, cookies and other indulgences Contains: Gift box of 9 bonbons x 1 Box of 6 chocolate-coated cookies x 1 Gift box of 2 assorted Chocolate Coated Nuts x 1 Chocolate Bar x 1 Nostimo Chocolate Spread x 1 Dietary Preference *Only available for delivery in Mumbai","This gift basket includes our finest collection of chocolates, cookies and other indulgences Contains: Gift box of 9 bonbons x 1 Box of 6 chocolate-coated cookies x 1 Gift box of 2 assorted Chocolate Coated Nuts x 1 Chocolate Bar x 1 Nostimo Chocolate Spread x 1 Dietary Preference *Only available for delivery in Mumbai",
Delight Hamper Basket,3295.0,https://entisi.com/collections/all/products/delight-hamper-basket,"A handwoven cane basket with a smart faux leather trim, filled with an assortment of chocolates. Its earthy yet premium design makes it a versatile and elegant gifting choice. Delight Hamper basket: Chocolate coated hazelnut cookie box x 1 Crunchy hazelnut Dragees jar x 1 Extra Dark Hot chocolate x 1 Nostimo Chccolate spread x 1 Chocolate coated popcorn x 1 Dietary Preference",,775.0
The Signature Basket,3190.0,https://entisi.com/collections/all/products/the-signature-basket,This Classic Leather gift basket includes our finest collection of our premium chocolates Signature basket contains: Box of Chocolate Coated Hazelnut Cookies (6 pcs) x 1 Popcorn Dark Chocolates x 1 Box of 5 Creminos x 1 Dragees Jar x 1 Box of Chocolate Macarons (8 Pcs) x 1 Dietary Preference,This Classic Leather gift basket includes our finest collection of our premium chocolates Signature basket contains: Box of Chocolate Coated Hazelnut Cookies (6 pcs) x 1 Popcorn Dark Chocolates x 1 Box of 5 Creminos x 1 Dragees Jar x 1 Box of Chocolate Macarons (8 Pcs) x 1 Dietary Preference,516.0
Joy Hamper Basket,2545.0,https://entisi.com/collections/all/products/joy-hamper-basket,"A compact cane basket with a deep green faux leather trim, holding chocolates in a stylish arrangement. Contemporary and chic, its perfect for thoughtful yet indulgent gifting. Joy Hamper Basket contains: Salted Pistachio Dragees jar 120 g x 1 Salted Caramel Hot chocolate x 1 Chocolate coated Popcorn x 1 Box of 8 peppermint Macaron x 1 Dietary Preference",Joy Hamper Basket contains: Salted Pistachio Dragees jar 120 g x 1 Salted Caramel Hot chocolate x 1 Chocolate coated Popcorn x 1 Box of 8 peppermint Macaron x 1 Dietary Preference,461.0
Pralines Box of 25,2250.0,https://entisi.com/collections/all/products/pralines-box-of-25,"Center-Filled Chocolates Our praline box is a collection crafted to create a perfect unity between nuts and chocolate. Our Master Chocolatiers have created four pralines using cocoa from some of the worlds finest cocoa destinations in Africa & South America. Just as we select our chocolate from renowned places in the world, we also source our nuts from the preeminent regions across the globe, grown in the worlds best orchards like hazelnuts from Turkey, almonds from California and pistachios from Iran. Each praline is a creation of fine nuance to deliver to you exceptional quality and the pure joy that you expect from ntisi. Contains 25 pieces (5x5 pcs): Hazelnut Praline, Hazelnut Gianduja, Pistachio Praline, Almond Marzipan Praline, Crunchy Hazelnut Feuilletine Dietary Preference","Contains 25 pieces (5x5 pcs): Hazelnut Praline, Hazelnut Gianduja, Pistachio Praline, Almond Marzipan Praline, Crunchy Hazelnut Feuilletine Dietary Preference",250.0
Signature Box of 25 Bonbons,2250.0,https://entisi.com/collections/all/products/signature-box-of-25-bonbons,"Soft Centre Filled Chocolates This box contains 25 pieces of assorted chocolate bonbons. These bonbons are our Signature centre filled chocolates with exquisite colours and rich creamy chocolate ganache centre. Flavours (5x5) - Caramel Cookie, Strawberry Cheesecake, Nostimo, Pistachio Berry, Lemon chilli Dietary Preference Note Packaging may differ based on availability.",Soft Centre Filled Chocolates This box contains 25 pieces of assorted chocolate bonbons.,250.0
Classic Box of 25 Bonbons,2250.0,https://entisi.com/collections/all/products/box-of-25-bonbons,"Soft Centre Filled Chocolates This box contains 25 pieces of assorted chocolate bonbons. These bonbons are our classic centre filled chocolates with exquisite colours and rich creamy chocolate ganache centre. Flavours (5x5) - Blueberry, Salted caramel, Oreo, Raspberry, Crunchy hazelnut Feuilletine Dietary Preference Note Packaging may differ based on availability.",Soft Centre Filled Chocolates This box contains 25 pieces of assorted chocolate bonbons.,250.0
Gift Box of 4 Dragees Jars,2200.0,https://entisi.com/collections/all/products/gift-box-of-4-dragees-jars,Assorted 4 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with finest quality of ingredients sourced from around the world. This gift box is perfect for someone who loves his/her chocolate with the right amount of nuts or fruits! Dietary Preference Depends on the flavour chosen. Please refer to the details mentioned on the chosen product's page *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .,Assorted 4 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with finest quality of ingredients sourced from around the world.,480.0
Gift Box of 3 Dragees Jars,1650.0,https://entisi.com/collections/all/products/gift-box-of-3-dragees-jars,Assorted 3 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with the finest quality ingredients sourced from around the world. This gift box is perfect for someone who loves his/her chocolate with the right amount of nuts or fruits! Dietary Preference Depends on the flavour chosen. Please refer to the details mentioned on the chosen product's page *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .,Assorted 3 jars of Chocolate coated nuts/fruits Entisi dragees are chocolate coated nuts or fruits made with the finest quality ingredients sourced from around the world.,360.0
Signature Box of 16 Bonbons,1600.0,https://entisi.com/collections/all/products/signature-box-of-16-bonbons,"Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons. These bonbons are our Signature centre filled chocolates with exquisite colours and rich creamy chocolate ganache centre. Flavours (4x4) - Plain Dark Sugar free, Espresso, Pistachio Berry, Lemon chilli Dietary Preference Note Packaging may differ based on availability.",Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons.,160.0
Classic Bonbon Box of 16,1600.0,https://entisi.com/collections/all/products/classic-bonbon-box-of-9,"Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons. These bonbons are our classic centre filled chocolates with exquisite colours and rich creamy chocolate ganache centre. Flavours (4x4) - Blueberry, Exotic caramel, Grand cru, Raspberry Dietary Preference Notes Packaging may differ based on availability.",Soft Centre Filled Chocolates This box contains 16 pieces of assorted chocolate bonbons.,160.0
Gift Box of 15 Chocolate Creminos,1600.0,https://entisi.com/collections/all/products/gift-box-of-15-chocolate-creminos,"Soft Centre Filled Chocolates Entisi cremino box is a collection crafted to create a perfect unity between fuits, nuts and chocolate. Our Master Chocolatiers have created five creminos using cocoa from some of the worlds finest cocoa destinations in Africa & South America. From the traditional Cremini, in the original almond-based recipe, to a selection of soft and filled chocolates, ntisi cremino squares express the chocolate heritage in full, together with creative innovation in perfect Italian style. Contains 5 flavours (5 x 3 pcs): Raspberry, Pistachio, Salted Caramel, Orange and Almond Praline Dietary Preference","Contains 5 flavours (5 x 3 pcs): Raspberry, Pistachio, Salted Caramel, Orange and Almond Praline Dietary Preference",195.0
Pralines Box of 16,1600.0,https://entisi.com/collections/all/products/classic-16-praline-box,"Center-Filled Chocolates Our praline box is a collection crafted to create a perfect unity between nuts and chocolate. Our Master Chocolatiers have created four pralines using cocoa from some of the worlds finest cocoa destinations in Africa & South America. Just as we select our chocolate from renowned places in the world, we also source our nuts from the preeminent regions across the globe, grown in the worlds best orchards like hazelnuts from Turkey, almonds from California and pistachios from Iran. Each praline is a creation of fine nuance to deliver to you exceptional quality and the pure joy that you expect from ntisi. Dietary Preference",,160.0
Classic Duo Gift Box,1543.0,https://entisi.com/collections/all/products/classic-duo-gift-box,"A sleek grey gift box with a subtle textured finish, designed with compartments that beautifully showcase the chocolates inside. Elegant and modern, it makes for a sophisticated gift presentation. Classic Duo gift box: Dark chocolate Almond rochers (110 g) Milk Chocolate Hazelnut fingers (125 g) Dietary Preference",,250.0
Milk Chocolate Almond Discs,1375.0,https://entisi.com/collections/all/products/milk-chocolate-almond-discs,"Milk chocolate discs loaded with roasted almond chunks. Smooth milk chocolate discs brimming with roasted almond chunks, offering a delightful blend of creaminess and crunch Dietary Preference *Delivery time may be longer during festive season & public holidays. For exact timelinesand exceptional cases please read our terms on the shippingpolicy .",,250.0
Dark Chocolate Almond Discs,1375.0,https://entisi.com/collections/all/products/dark-chocolate-almond-discs,"Dark chocolate discs loaded with roasted almond chunks Rich dark chocolate discs generously filled with roasted almond chunks, delivering a perfect crunch in every bite Dietary Preference",,250.0
Milk Chocolate Hazelnut Fingers,1375.0,https://entisi.com/collections/all/products/milk-chocolate-hazelnut-fingers,"Milk chocolate fingers with crunchy hazelnuts. Creamy milk chocolate with whole crunchy hazelnuts shaped into fingers, perfect for a sweet snack Dietary Preference",,250.0
